Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time,Comment
2021-07-12,Hammer Strength Row,Back,50.0,50,,,,""
2021-07-12,Hammer Strength Row,Back,40.0,30,,,,""
2021-07-12,Lat Pulldown,Back,50.0,50,,,,""
2021-07-12,Hammer Strength Shoulder Press,Shoulders,40.0,50,,,,""
2021-07-12,Lat Pulldown,Back,55.0,30,,,,""
2021-07-12,Back Extension,Back,85.0,20,,,,""
2021-07-12,Back Extension,Back,100.0,6,,,,""
2021-07-12,Hammer Strength Chest Press,Chest,40.0,10,,,,""
2021-07-12,Hammer Strength Chest Press,Chest,30.0,10,,,,""
2021-07-12,Hammer Strength Chest Press,Chest,20.0,10,,,,""
2021-07-15,Hip Abduction Outer,Legs,100.0,20,,,,""
2021-07-15,Hip Abduction Outer,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Outer,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Outer,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Inner,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Inner,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Inner,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Inner,Legs,100.0,10,,,,""
2021-07-15,Leg Extension Machine,Legs,100.0,10,,,,""
2021-07-15,Leg Extension Machine,Legs,100.0,10,,,,""
2021-07-15,Leg Extension Machine,Legs,85.0,10,,,,""
2021-07-15,Leg Extension Machine,Legs,85.0,10,,,,""
2021-07-15,Leg Extension Machine,Legs,85.0,10,,,,""
2021-07-15,Seated Leg Curl Machine,Legs,100.0,10,,,,""
2021-07-15,Seated Leg Curl Machine,Legs,85.0,10,,,,""
2021-07-15,Seated Leg Curl Machine,Legs,85.0,15,,,,""
2021-07-15,Seated Calf Extension,Legs,100.0,20,,,,""
2021-07-15,Seated Calf Extension,Legs,100.0,10,,,,""
2021-07-15,Seated Calf Extension,Legs,100.0,10,,,,""
2021-07-15,Seated Calf Extension,Legs,100.0,10,,,,""
2021-07-15,Torso Rotation,Abs,100.0,10,,,,""
2021-07-15,Torso Rotation,Abs,100.0,10,,,,""
2021-07-15,Torso Rotation,Abs,100.0,10,,,,""
2021-07-15,Torso Rotation,Abs,100.0,10,,,,""
2021-07-15,Hip Abduction Outer,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Outer,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Outer,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Outer,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Outer,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Inner,Legs,100.0,10,,,,""
2021-07-15,Hip Abduction Inner,Legs,85.0,10,,,,""
2021-07-15,Hip Abduction Inner,Legs,85.0,10,,,,""
2021-07-15,Hip Abduction Inner,Legs,85.0,10,,,,""
2021-07-15,Crunch,Abs,80.0,10,,,,""
2021-07-15,Crunch,Abs,80.0,10,,,,""
2021-07-15,Barbell Curl,Biceps,15.0,50,,,,""
2021-07-15,Barbell Curl,Biceps,15.0,50,,,,""
2021-07-15,Seated Leg Press,Legs,100.0,10,,,,""
2021-07-15,Seated Leg Press,Legs,100.0,10,,,,""
2021-07-15,Seated Leg Press,Legs,100.0,10,,,,""
2021-07-15,Seated Leg Press,Legs,100.0,10,,,,""
2021-07-15,Seated Leg Press,Legs,100.0,10,,,,""
2021-07-19,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-07-19,Hammer Strength Shoulder Press,Shoulders,80.0,10,,,,""
2021-07-19,Hammer Strength Shoulder Press,Shoulders,80.0,10,,,,""
2021-07-19,Hammer Strength Shoulder Press,Shoulders,60.0,10,,,,""
2021-07-19,Hammer Strength Shoulder Press,Shoulders,60.0,10,,,,""
2021-07-19,Hammer Strength Shoulder Press,Shoulders,60.0,10,,,,""
2021-07-19,Hammer Strength Row,Back,80.0,10,,,,""
2021-07-19,Hammer Strength Row,Back,80.0,10,,,,""
