,Date,Habit,Value
0,2023-01-14,Sobriety,-1
1,2023-01-13,Sobriety,2
2,2023-01-12,Sobriety,2
3,2023-01-11,Sobriety,2
4,2023-01-10,Sobriety,2
5,2023-01-09,Sobriety,2
6,2023-01-08,Sobriety,2
7,2023-01-07,Sobriety,2
8,2023-01-06,Sobriety,2
9,2023-01-05,Sobriety,2
10,2023-01-04,Sobriety,2
11,2023-01-03,Sobriety,2
12,2023-01-02,Sobriety,2
13,2023-01-01,Sobriety,0
14,2022-12-31,Sobriety,0
15,2022-12-30,Sobriety,0
16,2022-12-29,Sobriety,2
17,2022-12-28,Sobriety,2
18,2022-12-27,Sobriety,0
19,2022-12-26,Sobriety,0
20,2022-12-25,Sobriety,0
21,2022-12-24,Sobriety,0
22,2022-12-23,Sobriety,0
23,2022-12-22,Sobriety,0
24,2022-12-21,Sobriety,0
25,2022-12-20,Sobriety,0
26,2022-12-19,Sobriety,0
27,2022-12-18,Sobriety,0
28,2022-12-17,Sobriety,0
29,2022-12-16,Sobriety,0
30,2022-12-15,Sobriety,2
31,2022-12-14,Sobriety,2
32,2022-12-13,Sobriety,0
33,2022-12-12,Sobriety,0
34,2022-12-11,Sobriety,0
35,2022-12-10,Sobriety,0
36,2022-12-09,Sobriety,0
37,2022-12-08,Sobriety,0
38,2022-12-07,Sobriety,0
39,2022-12-06,Sobriety,0
40,2022-12-05,Sobriety,0
41,2022-12-04,Sobriety,0
42,2022-12-03,Sobriety,0
43,2022-12-02,Sobriety,0
44,2022-12-01,Sobriety,0
45,2022-11-30,Sobriety,0
46,2022-11-29,Sobriety,0
47,2022-11-28,Sobriety,0
48,2022-11-27,Sobriety,0
49,2022-11-26,Sobriety,0
50,2022-11-25,Sobriety,0
51,2022-11-24,Sobriety,0
52,2022-11-23,Sobriety,0
53,2022-11-22,Sobriety,0
54,2022-11-21,Sobriety,0
55,2022-11-20,Sobriety,0
56,2022-11-19,Sobriety,0
57,2022-11-18,Sobriety,0
58,2022-11-17,Sobriety,0
59,2022-11-16,Sobriety,0
60,2022-11-15,Sobriety,2
61,2022-11-14,Sobriety,2
62,2022-11-13,Sobriety,2
63,2022-11-12,Sobriety,0
64,2022-11-11,Sobriety,0
65,2022-11-10,Sobriety,0
66,2022-11-09,Sobriety,2
67,2022-11-08,Sobriety,0
