Name,Start Date (UTC),Start Time (UTC),End Date (UTC),End Time (UTC),BodyWeight,Exercise,Equipment,Reps,Weight,Time,Distance,Status,Categories
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Back Extension","Machine","13","10.0","","","Done","Glutes,Lower Back"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Back Extension","Machine","13","15.0","","","Done","Glutes,Lower Back"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Back Extension","Machine","13","15.0","","","Done","Glutes,Lower Back"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Back Extension","Machine","13","20.0","","","Done","Glutes,Lower Back"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Back Extension","Machine","0","0.0","","","NotStarted","Glutes,Lower Back"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Pulldown","Machine","13","12.5","","","Done","Lats"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Pulldown","Machine","13","20.0","","","Done","Lats"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Pulldown","Machine","13","20.0","","","Done","Lats"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Pulldown","Machine","11","27.5","","","Done","Lats"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Pulldown","Machine","0","0.0","","","NotStarted","Lats"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Shoulder Fly","Single Dumbbell","13","10.0","","","Done","Deltoids"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Shoulder Fly","Single Dumbbell","13","15.0","","","Done","Deltoids"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Shoulder Fly","Single Dumbbell","13","15.0","","","Done","Deltoids"
"Workout","1/17/2023","4:42:00 PM","1/17/2023","5:42:00 PM","151.0","Shoulder Fly","Single Dumbbell","11","20.0","","","Done","Deltoids"
