set_id,Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time,Comment,exercise_nbr
828,2023-01-03,Pectoral Fly,Chest,90.0,10.0,,,,,5
829,2023-01-03,Pectoral Fly,Chest,90.0,10.0,,,,,6
830,2023-01-03,Pectoral Fly,Chest,90.0,10.0,,,,,7
831,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,89
832,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,90
833,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,91
834,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,92
835,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,93
836,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,94
837,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,95
838,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,96
839,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,97
840,2023-01-03,Hammer Strength Shoulder Press,Shoulders,140.0,10.0,,,,,128
841,2023-01-03,Hammer Strength Shoulder Press,Shoulders,140.0,10.0,,,,,129
842,2023-01-03,Hammer Strength Shoulder Press,Shoulders,120.0,10.0,,,,,130
843,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,98
844,2023-01-03,Seated Leg Press,Legs,205.0,10.0,,,,,99
845,2023-01-03,Hammer Strength Row,Back,120.0,10.0,,,,,201
846,2023-01-03,Hammer Strength Row,Back,120.0,10.0,,,,,202
847,2023-01-03,Hammer Strength Row,Back,120.0,10.0,,,,,203
848,2023-01-03,Hammer Strength Row,Back,100.0,10.0,,,,,204
849,2023-01-03,Hammer Strength Row,Back,100.0,10.0,,,,,205
850,2023-01-05,Seated Leg Press,Legs,250.0,10.0,,,,,100
851,2023-01-05,Seated Leg Press,Legs,250.0,10.0,,,,,101
852,2023-01-05,Seated Leg Press,Legs,235.0,10.0,,,,,102
853,2023-01-05,Seated Leg Press,Legs,205.0,10.0,,,,,103
854,2023-01-05,Seated Leg Press,Legs,205.0,10.0,,,,,104
855,2023-01-05,Seated Leg Press,Legs,190.0,10.0,,,,,105
856,2023-01-05,Back Extension,Back,130.0,10.0,,,,,57
857,2023-01-05,Back Extension,Back,130.0,10.0,,,,,58
